Date,Snow_Cover_Percentage,DSSM,NDVI_nonSR_Min,NDVI_nonSR_Median,NDVI_nonSR_Max,NEE_U50_f,VPD_f,TA,TA_min,TA_max,RG,RG_min,RG_max,RH,SWC_10cm,TS_10cm,D_SNOW,precipitation_rate,TA_lag1d,TA_lag3d,TA_lag7d,TA_lag14d,TS_lag1d,TS_lag3d,TS_lag7d,TS_lag14d,SWC_lag1d,SWC_lag3d,SWC_lag7d,SWC_lag14d,P_lag1d,P_lag3d,P_lag7d,P_lag14d
2018-04-11,100,-108,-0.03,-0.02,-0.01,,,-18.32,-21.84,-14.68,133.55,-1.1,474.1,71.76,8.5,-10.97,,0.0,-20.64,-21.23,-19.9,-21.35,-10.95,-10.94,-10.89,-10.8,8.5,8.5,8.5,8.51,0.0,0.0,0.6,0.9
2018-04-12,100,-107,-0.03,-0.02,-0.01,,,-16.56,-21.94,-10.9,143.39,-1.1,517.61,74.26,8.5,-10.99,,0.0,-18.32,-20.31,-20.23,-21.18,-10.97,-10.96,-10.92,-10.82,8.5,8.5,8.5,8.5,0.0,0.0,0.4,0.9
2018-04-13,100,-106,-0.03,-0.02,-0.02,,,-14.67,-18.15,-8.61,164.47,-1.1,412.28,70.71,8.5,-11.01,,0.0,-16.56,-18.51,-19.99,-20.77,-10.99,-10.97,-10.94,-10.84,8.5,8.5,8.5,8.5,0.0,0.0,0.0,0.9
2018-04-14,100,-105,-0.03,-0.03,-0.02,,,-9.97,-17.18,-6.12,148.38,-1.1,512.23,67.94,8.5,-11.03,,2.2,-14.67,-16.52,-18.97,-20.1,-11.01,-10.99,-10.96,-10.87,8.5,8.5,8.5,8.5,0.0,0.0,0.0,0.9
2018-04-15,100,-104,-0.04,-0.03,-0.02,,,-10.14,-14.27,-2.94,149.38,-1.1,489.26,75.94,8.5,-11.04,,0.0,-9.97,-13.73,-17.6,-18.96,-11.03,-11.01,-10.97,-10.89,8.5,8.5,8.5,8.5,2.2,2.2,2.2,3.1
2018-04-16,100,-103,-0.03,-0.03,-0.02,,,-10.64,-14.27,-7.32,172.19,-1.1,441.17,71.51,8.5,-11.05,,0.0,-10.14,-11.59,-16.04,-17.84,-11.04,-11.02,-10.99,-10.91,8.5,8.5,8.5,8.5,0.0,2.2,2.2,3.1
2018-04-17,100,-102,-0.03,-0.03,-0.02,,,-14.13,-17.57,-10.6,178.35,-1.1,408.6,71.95,8.5,-11.05,,0.0,-10.64,-10.25,-14.42,-16.83,-11.05,-11.04,-11.01,-10.94,8.5,8.5,8.5,8.5,0.0,2.2,2.2,3.1
2018-04-18,100,-101,-0.03,-0.03,-0.02,,,-13.22,-16.8,-10.8,145.26,-1.1,412.55,68.07,8.5,-11.03,,0.0,-14.13,-11.64,-13.49,-16.69,-11.05,-11.04,-11.02,-10.96,8.5,8.5,8.5,8.5,0.0,0.0,2.2,2.8
2018-04-19,100,-100,-0.03,-0.03,-0.02,,,-10.52,-13.5,-8.41,134.45,-1.1,381.42,75.96,8.5,-11.01,,0.0,-13.22,-12.66,-12.76,-16.49,-11.03,-11.04,-11.03,-10.97,8.5,8.5,8.5,8.5,0.0,0.0,2.2,2.6
2018-04-20,100,-99,-0.03,-0.02,-0.02,,,-9.28,-17.09,-5.23,188.07,-1.1,437.76,70.92,8.5,-10.98,,0.0,-10.52,-12.62,-11.9,-15.95,-11.01,-11.03,-11.03,-10.98,8.5,8.5,8.5,8.5,0.0,0.0,2.2,2.2
2018-04-21,100,-98,-0.03,-0.02,-0.02,,,-14.34,-18.15,-10.0,199.27,-1.1,430.22,75.79,8.5,-10.96,,0.0,-9.28,-11.0,-11.13,-15.05,-10.98,-11.01,-11.03,-10.99,8.5,8.5,8.5,8.5,0.0,0.0,2.2,2.2
2018-04-22,100,-97,-0.03,-0.02,-0.01,,,-9.9,-16.21,-4.83,198.62,-1.1,447.72,68.61,8.6,-10.92,,0.0,-14.34,-11.38,-11.75,-14.68,-10.96,-10.98,-11.02,-11.0,8.5,8.5,8.5,8.5,0.0,0.0,0.0,2.2
2018-04-23,100,-96,-0.03,-0.02,-0.01,,,-10.19,-14.27,-6.03,180.3,-1.1,546.41,66.85,8.6,-10.88,,0.0,-9.9,-11.17,-11.72,-13.88,-10.92,-10.95,-11.0,-11.0,8.6,8.53,8.51,8.51,0.0,0.0,0.0,2.2
2018-04-24,100,-95,-0.03,-0.02,-0.01,,,-10.75,-14.47,-7.02,205.46,-1.1,458.4,70.16,8.6,-10.84,,0.0,-10.19,-11.48,-11.65,-13.04,-10.88,-10.92,-10.98,-10.99,8.6,8.57,8.53,8.51,0.0,0.0,0.0,2.2
2018-04-25,100,-94,-0.03,-0.02,-0.01,,,-13.45,-18.25,-3.74,213.92,-1.1,448.98,72.33,8.5,-10.8,,0.0,-10.76,-10.28,-11.17,-12.33,-10.84,-10.88,-10.95,-10.98,8.6,8.6,8.54,8.52,0.0,0.0,0.0,2.2
2018-04-26,100,-93,-0.03,-0.02,-0.02,,,-15.95,-20.1,-8.51,220.13,-1.1,452.12,75.44,8.6,-10.77,,0.0,-13.45,-11.46,-11.2,-11.98,-10.8,-10.84,-10.92,-10.97,8.5,8.57,8.54,8.52,0.0,0.0,0.0,2.2
2018-04-27,100,-92,-0.03,-0.02,-0.02,,,-15.57,-20.48,-6.42,227.83,-1.1,468.71,71.63,8.6,-10.73,,0.0,-15.95,-13.38,-11.98,-11.94,-10.77,-10.81,-10.88,-10.96,8.6,8.57,8.56,8.53,0.0,0.0,0.0,2.2
2018-04-28,100,-91,-0.04,-0.03,-0.02,,,-15.69,-19.71,-10.2,231.83,0.04,478.13,72.01,8.6,-10.7,,0.0,-15.57,-14.99,-12.88,-12.0,-10.73,-10.77,-10.84,-10.94,8.6,8.57,8.57,8.54,0.0,0.0,0.0,2.2
2018-04-29,100,-90,-0.04,-0.03,-0.02,,,-12.67,-19.03,-8.71,192.87,0.66,539.77,73.5,8.6,-10.67,,0.0,-15.69,-15.73,-13.07,-12.41,-10.7,-10.73,-10.81,-10.91,8.6,8.6,8.59,8.54,0.0,0.0,0.0,0.0
2018-04-30,100,-89,-0.04,-0.03,-0.02,,,-8.2,-12.14,-5.43,118.04,1.69,229.25,81.31,8.6,-10.65,,6.9,-12.66,-14.64,-13.47,-12.59,-10.67,-10.7,-10.77,-10.88,8.6,8.6,8.59,8.55,0.0,0.0,0.0,0.0
2018-05-01,100,-88,-0.04,-0.03,-0.02,,,-3.55,-5.05,-2.05,139.35,2.51,370.38,82.8,8.6,-10.63,,9.7,-8.2,-12.18,-13.18,-12.42,-10.65,-10.67,-10.74,-10.86,8.6,8.6,8.59,8.56,6.9,6.9,6.9,6.9
2018-05-02,100,-87,-0.04,-0.03,-0.02,,,-1.68,-2.91,-0.65,103.16,3.44,210.05,91.03,8.6,-10.61,,31.5,-3.55,-8.14,-12.15,-11.66,-10.63,-10.65,-10.71,-10.83,8.6,8.6,8.59,8.56,9.7,16.6,16.6,16.6
2018-05-03,100,-86,-0.04,-0.03,-0.02,,,0.07,-0.29,0.94,99.7,2.72,209.69,90.43,8.6,-10.58,,8.0,-1.68,-4.48,-10.47,-10.84,-10.61,-10.63,-10.68,-10.8,8.6,8.6,8.6,8.57,31.5,48.1,48.1,48.1
2018-05-04,100,-85,-0.04,-0.03,-0.02,,,-0.15,-1.56,1.04,201.74,4.68,884.38,83.88,8.6,-10.54,,1.0,0.07,-1.72,-8.18,-10.08,-10.58,-10.61,-10.65,-10.77,8.6,8.6,8.6,8.58,8.0,49.2,56.1,56.1
2018-05-05,100,-84,-0.04,-0.03,-0.02,,,-3.4,-8.45,2.03,248.99,4.27,612.71,81.31,8.6,-10.48,,0.8,-0.15,-0.58,-5.98,-9.43,-10.54,-10.58,-10.62,-10.73,8.6,8.6,8.6,8.59,1.0,40.5,57.1,57.1
2018-05-06,100,-83,-0.04,-0.03,-0.02,,,-5.57,-13.98,-1.25,220.72,6.23,714.1,78.63,8.7,-9.04,1.7,0.0,-3.4,-1.16,-4.22,-8.65,-10.48,-10.54,-10.59,-10.7,8.6,8.6,8.6,8.59,0.8,9.8,57.9,57.9
2018-05-07,100,-82,-0.04,-0.03,-0.02,,,-3.62,-10.58,-1.85,229.62,16.55,469.61,73.69,8.7,-8.96,1.7,0.0,-5.57,-3.04,-3.21,-8.34,-9.04,-10.02,-10.36,-10.57,8.7,8.63,8.61,8.6,0.0,1.8,57.9,57.9
2018-05-08,100,-81,-0.04,-0.03,-0.02,,,-7.59,-13.59,-1.15,238.46,7.68,538.96,77.34,8.7,-8.85,1.67,0.0,-3.62,-4.2,-2.56,-7.87,-8.96,-9.49,-10.12,-10.43,8.7,8.67,8.63,8.61,0.0,0.8,51.0,57.9
2018-05-09,100,-80,-0.04,-0.03,-0.02,,,-10.57,-15.63,-7.72,285.43,9.02,543.0,66.76,8.7,-8.76,1.68,0.0,-7.59,-5.59,-3.13,-7.64,-8.85,-8.95,-9.87,-10.29,8.7,8.7,8.64,8.61,0.0,0.0,41.3,57.9
2018-05-10,100,-79,-0.05,-0.04,-0.02,-0.0,1.21,-10.58,-17.24,-4.96,262.23,11.13,617.02,60.86,8.7,-8.67,1.68,1.3,-10.57,-7.26,-4.4,-7.44,-8.76,-8.86,-9.6,-10.14,8.7,8.7,8.66,8.63,0.0,0.0,9.8,57.9
2018-05-11,100,-78,-0.05,-0.04,-0.03,0.0,0.84,-5.88,-10.05,-3.32,236.06,13.79,539.46,78.94,8.7,-8.59,1.68,0.4,-10.58,-9.58,-5.92,-7.05,-8.67,-8.76,-9.33,-9.99,8.7,8.7,8.67,8.64,1.3,1.3,3.1,59.2
2018-05-12,100,-77,-0.05,-0.04,-0.03,-0.02,0.71,-7.4,-14.75,-2.03,322.01,12.69,657.03,80.15,8.7,-8.53,1.67,0.3,-5.88,-9.01,-6.74,-6.36,-8.59,-8.67,-9.05,-9.84,8.7,8.7,8.69,8.64,0.4,1.7,2.5,59.6
2018-05-13,100,-76,-0.05,-0.04,-0.03,-0.01,0.89,-5.04,-11.64,0.17,260.19,13.2,665.97,81.98,8.7,-8.49,1.67,0.0,-7.4,-7.95,-7.32,-5.77,-8.53,-8.6,-8.77,-9.68,8.7,8.7,8.7,8.65,0.3,2.0,2.0,59.9
2018-05-14,100,-75,-0.05,-0.04,-0.03,-0.0,0.92,-1.23,-2.43,0.74,180.38,15.05,473.22,83.39,8.7,-8.44,1.67,0.9,-5.04,-6.11,-7.24,-5.22,-8.49,-8.54,-8.69,-9.53,8.7,8.7,8.7,8.66,0.0,0.7,2.0,59.9
2018-05-15,100,-74,-0.05,-0.04,-0.03,0.01,0.28,0.11,-1.22,0.87,208.82,19.39,548.05,95.57,8.7,-8.4,1.67,2.2,-1.23,-4.56,-6.9,-4.73,-8.44,-8.49,-8.62,-9.37,8.7,8.7,8.7,8.66,0.9,1.2,2.9,53.9
2018-05-16,100,-73,-0.05,-0.04,-0.03,0.01,0.56,-1.05,-3.47,1.36,255.77,19.65,606.52,90.34,8.7,-8.36,1.66,0.8,0.11,-2.06,-5.8,-4.47,-8.4,-8.44,-8.56,-9.21,8.7,8.7,8.7,8.67,2.2,3.1,5.1,46.4
2018-05-17,100,-72,-0.05,-0.04,-0.03,0.0,0.94,-1.24,-5.43,0.78,298.08,29.05,623.79,83.24,8.7,-8.3,1.65,0.2,-1.05,-0.72,-4.44,-4.42,-8.36,-8.4,-8.5,-9.05,8.7,8.7,8.7,8.68,0.8,3.9,5.9,15.7
2018-05-18,100,-71,-0.06,-0.05,-0.04,0.0,1.4,-2.67,-7.12,1.01,290.01,18.45,701.86,72.58,8.8,-8.23,1.63,0.0,-1.25,-0.73,-3.1,-4.51,-8.3,-8.35,-8.44,-8.89,8.7,8.7,8.7,8.69,0.2,3.2,4.8,7.9
2018-05-19,100,-70,-0.06,-0.05,-0.04,0.01,1.06,-0.35,-2.0,1.47,258.59,37.61,575.66,82.28,8.8,-8.16,1.63,0.0,-2.67,-1.65,-2.65,-4.7,-8.23,-8.29,-8.39,-8.72,8.8,8.73,8.71,8.7,0.0,1.0,4.4,6.9
2018-05-20,100,-69,-0.06,-0.06,-0.04,0.01,0.65,-0.66,-1.23,0.1,188.15,14.84,431.93,88.88,8.8,-8.08,1.63,0.0,-0.35,-1.42,-1.64,-4.48,-8.16,-8.23,-8.34,-8.56,8.8,8.77,8.73,8.71,0.0,0.2,4.1,6.1
2018-05-21,100,-68,-0.07,-0.06,-0.04,0.01,0.9,-0.86,-2.16,1.57,276.66,27.28,721.21,84.5,8.8,-7.99,1.62,0.0,-0.66,-1.23,-1.01,-4.13,-8.08,-8.15,-8.28,-8.49,8.8,8.8,8.74,8.72,0.0,0.0,4.1,6.1
2018-05-22,100,-67,-0.07,-0.06,-0.05,0.03,0.47,-3.05,-4.6,-1.48,225.24,22.63,547.63,90.71,8.8,-7.91,1.61,0.0,-0.86,-0.62,-0.96,-3.93,-7.99,-8.08,-8.22,-8.42,8.8,8.8,8.76,8.73,0.0,0.0,3.2,6.1
2018-05-23,100,-66,-0.07,-0.06,-0.05,0.02,1.0,-3.33,-8.24,-2.2,287.44,32.32,618.76,79.42,8.8,-7.82,1.6,0.0,-3.05,-1.52,-1.41,-3.6,-7.91,-7.99,-8.15,-8.35,8.8,8.8,8.77,8.74,0.0,0.0,1.0,6.1
2018-05-24,100,-65,-0.07,-0.06,-0.05,0.01,0.68,-4.66,-7.7,-2.04,335.52,39.28,660.81,84.61,8.9,-7.74,1.6,0.0,-3.33,-2.41,-1.74,-3.09,-7.82,-7.91,-8.07,-8.28,8.8,8.8,8.79,8.74,0.0,0.0,0.2,6.1
2018-05-25,100,-64,-0.07,-0.06,-0.05,0.01,0.93,-4.06,-8.25,-0.87,334.69,33.57,764.94,80.24,8.9,-7.66,1.6,0.0,-4.66,-3.68,-2.22,-2.66,-7.74,-7.82,-7.99,-8.22,8.9,8.83,8.81,8.76,0.0,0.0,0.0,4.8
2018-05-26,100,-63,-0.07,-0.06,-0.05,0.0,0.56,-4.9,-9.63,-1.2,326.88,33.47,667.54,87.37,8.9,-7.58,1.59,0.0,-4.06,-4.02,-2.42,-2.54,-7.66,-7.74,-7.91,-8.15,8.9,8.87,8.83,8.77,0.0,0.0,0.0,4.4
2018-05-27,100,-62,-0.07,-0.06,-0.05,0.01,0.91,-2.02,-5.15,1.64,344.21,27.34,661.92,84.38,8.9,-7.52,1.6,0.0,-4.9,-4.54,-3.07,-2.36,-7.58,-7.66,-7.83,-8.08,8.9,8.9,8.84,8.79,0.0,0.0,0.0,4.1
2018-05-28,100,-61,-0.08,-0.07,-0.05,0.01,1.45,-2.19,-6.7,0.74,297.59,46.63,625.19,73.61,8.9,-7.47,1.59,0.0,-2.02,-3.66,-3.27,-2.14,-7.52,-7.59,-7.75,-8.01,8.9,8.9,8.86,8.8,0.0,0.0,0.0,4.1
2018-05-29,100,-60,-0.08,-0.07,-0.06,0.01,0.89,-2.95,-7.21,0.65,358.12,28.08,667.36,82.11,8.9,-7.43,1.58,0.0,-2.19,-3.04,-3.46,-2.21,-7.47,-7.53,-7.67,-7.94,8.9,8.9,8.87,8.81,0.0,0.0,0.0,3.2
2018-05-30,100,-59,-0.08,-0.07,-0.06,0.0,0.7,-2.04,-6.61,1.37,314.29,56.66,645.05,87.53,8.9,-7.38,1.58,0.5,-2.95,-2.39,-3.45,-2.43,-7.43,-7.47,-7.6,-7.87,8.9,8.9,8.89,8.83,0.0,0.0,0.0,1.0
2018-05-31,100,-58,-0.09,-0.08,-0.07,0.01,1.57,0.52,-3.78,4.1,357.83,49.31,666.6,76.68,8.9,-7.33,1.59,0.0,-2.04,-2.4,-3.26,-2.5,-7.38,-7.42,-7.54,-7.8,8.9,8.9,8.9,8.84,0.5,0.5,0.5,0.7
2018-06-01,100,-57,-0.09,-0.08,-0.07,0.02,1.15,-1.19,-2.65,0.72,371.43,50.97,704.86,79.78,9.0,-7.3,1.56,0.0,0.52,-1.49,-2.52,-2.37,-7.33,-7.38,-7.48,-7.74,8.9,8.9,8.9,8.86,0.0,0.5,0.5,0.5
2018-06-02,100,-56,-0.09,-0.08,-0.07,0.0,0.73,-2.16,-4.22,-0.16,256.17,36.49,600.06,86.57,9.2,-7.25,1.55,0.0,-1.19,-0.9,-2.11,-2.27,-7.3,-7.34,-7.43,-7.67,9.0,8.93,8.91,8.87,0.0,0.5,0.5,0.5
2018-06-03,100,-55,-0.1,-0.09,-0.08,0.0,0.74,-2.4,-5.34,0.31,360.5,52.7,674.95,86.03,9.2,-7.18,1.54,0.0,-2.16,-0.94,-1.72,-2.4,-7.25,-7.3,-7.38,-7.6,9.2,9.03,8.96,8.9,0.0,0.0,0.5,0.5
2018-06-04,100,-54,-0.1,-0.09,-0.08,-0.01,0.79,-2.63,-4.59,-1.13,333.19,43.62,703.86,84.51,9.2,-7.1,1.53,0.0,-2.4,-1.92,-1.77,-2.52,-7.18,-7.24,-7.33,-7.54,9.2,9.13,9.0,8.93,0.0,0.0,0.5,0.5
2018-06-05,100,-53,-0.1,-0.09,-0.08,0.01,0.73,-2.78,-6.16,0.1,335.73,41.81,684.53,85.56,9.3,-7.02,1.53,0.0,-2.63,-2.4,-1.84,-2.65,-7.1,-7.18,-7.28,-7.48,9.2,9.2,9.04,8.96,0.0,0.0,0.5,0.5
2018-06-06,100,-52,-0.1,-0.09,-0.08,0.02,0.65,-1.49,-3.02,-0.01,326.54,34.45,761.96,88.47,9.3,-6.93,1.52,0.0,-2.78,-2.6,-1.81,-2.63,-7.02,-7.1,-7.22,-7.41,9.3,9.23,9.1,8.99,0.0,0.0,0.5,0.5
2018-06-07,100,-51,-0.1,-0.09,-0.08,0.03,0.66,-1.77,-2.29,-0.37,309.72,44.46,696.43,87.67,9.3,-6.84,1.51,0.0,-1.49,-2.3,-1.73,-2.5,-6.93,-7.02,-7.16,-7.35,9.3,9.27,9.16,9.03,0.0,0.0,0.0,0.5
2018-06-08,100,-50,-0.1,-0.09,-0.08,0.02,0.82,-1.07,-2.39,1.4,286.71,30.78,726.12,85.88,9.4,-6.7,1.49,0.0,-1.78,-2.02,-2.06,-2.29,-6.84,-6.93,-7.09,-7.28,9.3,9.3,9.21,9.06,0.0,0.0,0.0,0.5
2018-06-09,100,-49,-0.1,-0.09,-0.08,0.01,1.09,0.26,-2.83,4.76,357.38,39.85,690.4,83.18,9.4,-6.49,1.48,0.0,-1.07,-1.44,-2.04,-2.08,-6.7,-6.82,-7.0,-7.22,9.4,9.33,9.27,9.09,0.0,0.0,0.0,0.5
2018-06-10,100,-48,-0.1,-0.09,-0.08,0.01,0.58,-1.95,-5.09,-0.05,277.79,34.38,580.32,89.29,9.5,-6.11,1.44,0.0,0.26,-0.86,-1.7,-1.71,-6.49,-6.68,-6.89,-7.14,9.4,9.37,9.3,9.13,0.0,0.0,0.0,0.5
2018-06-11,100,-47,-0.1,-0.09,-0.08,0.02,0.52,-1.74,-2.34,-0.94,293.37,52.91,673.26,90.5,9.6,-5.57,1.42,0.0,-1.95,-0.92,-1.63,-1.7,-6.11,-6.43,-6.74,-7.04,9.5,9.43,9.34,9.17,0.0,0.0,0.0,0.5
2018-06-12,100,-46,-0.1,-0.09,-0.08,0.02,0.19,-2.57,-5.01,-1.56,328.83,45.58,692.45,96.23,9.7,-4.54,1.39,0.1,-1.74,-1.14,-1.51,-1.67,-5.57,-6.06,-6.52,-6.9,9.6,9.5,9.4,9.22,0.0,0.0,0.0,0.5
2018-06-13,100,-45,-0.1,-0.09,-0.08,0.04,0.34,-3.35,-6.21,-0.76,303.88,42.01,719.77,93.24,10.1,-3.55,1.37,0.0,-2.57,-2.09,-1.48,-1.64,-4.54,-5.41,-6.17,-6.7,9.7,9.6,9.46,9.28,0.1,0.1,0.1,0.6
2018-06-14,100,-44,-0.1,-0.09,-0.08,0.01,0.67,0.44,-3.16,3.09,291.13,52.02,738.46,89.73,10.2,-3.4,1.35,0.4,-3.35,-2.55,-1.74,-1.74,-3.55,-4.55,-5.69,-6.42,10.1,9.8,9.57,9.36,0.0,0.1,0.1,0.1
2018-06-15,100,-43,-0.1,-0.09,-0.08,0.0,1.2,1.77,0.37,2.84,352.43,45.92,690.31,82.82,10.5,-2.74,1.32,0.0,0.44,-1.83,-1.43,-1.74,-3.4,-3.83,-5.2,-6.14,10.2,10.0,9.7,9.46,0.4,0.5,0.5,0.5
2018-06-16,100,-42,-0.1,-0.09,-0.08,0.02,1.16,0.68,-1.72,2.97,374.67,43.96,716.33,82.28,10.6,-2.29,1.29,0.0,1.77,-0.38,-1.02,-1.53,-2.74,-3.23,-4.63,-5.82,10.5,10.27,9.86,9.56,0.0,0.4,0.5,0.5
2018-06-17,100,-41,-0.1,-0.09,-0.08,-0.0,0.55,-0.84,-3.03,0.71,327.27,59.24,682.05,90.4,10.7,-2.02,1.27,0.0,0.68,0.96,-0.96,-1.33,-2.29,-2.81,-4.03,-5.46,10.6,10.43,10.03,9.66,0.0,0.4,0.5,0.5
2018-06-18,100,-40,-0.09,-0.09,-0.08,0.01,0.31,-1.39,-3.26,-0.7,249.21,49.63,492.19,94.42,10.7,-1.85,1.25,0.0,-0.84,0.53,-0.8,-1.22,-2.02,-2.35,-3.45,-5.09,10.7,10.6,10.2,9.77,0.0,0.0,0.5,0.5
2018-06-19,100,-39,-0.09,-0.09,-0.09,0.02,0.15,-2.95,-4.23,-2.14,337.7,51.18,659.81,96.89,10.7,-1.68,1.21,0.0,-1.39,-0.52,-0.75,-1.13,-1.85,-2.06,-2.92,-4.72,10.7,10.67,10.36,9.88,0.0,0.0,0.5,0.5
2018-06-20,100,-38,-0.09,-0.09,-0.09,-0.01,0.58,-1.48,-5.11,1.75,386.2,82.32,675.39,90.12,10.7,-1.53,1.18,0.0,-2.95,-1.73,-0.81,-1.14,-1.68,-1.85,-2.51,-4.34,10.7,10.7,10.5,9.98,0.0,0.0,0.4,0.5
2018-06-21,100,-37,-0.11,-0.1,-0.09,0.0,1.03,1.22,-1.99,4.42,365.1,54.26,687.56,85.55,10.7,-1.45,1.16,0.2,-1.48,-1.94,-0.54,-1.14,-1.53,-1.69,-2.22,-3.95,10.7,10.7,10.59,10.08,0.0,0.0,0.4,0.5
2018-06-22,100,-36,-0.12,-0.1,-0.09,0.01,0.64,-0.13,-3.59,3.47,282.71,56.13,605.71,90.51,10.8,-1.4,1.14,0.0,1.22,-1.07,-0.43,-0.93,-1.45,-1.55,-1.94,-3.57,10.7,10.7,10.66,10.18,0.2,0.2,0.2,0.7
2018-06-23,100,-35,-0.13,-0.1,-0.09,0.0,0.93,2.27,1.42,4.13,200.03,41.43,444.78,87.14,10.8,-1.36,1.1,0.9,-0.13,-0.13,-0.7,-0.86,-1.4,-1.46,-1.75,-3.19,10.8,10.73,10.7,10.28,0.0,0.2,0.2,0.7
2018-06-24,100,-34,-0.13,-0.1,-0.1,0.0,0.66,1.47,0.5,5.2,339.4,55.35,742.35,90.58,10.8,-1.32,1.06,0.0,2.27,1.12,-0.47,-0.72,-1.36,-1.4,-1.61,-2.82,10.8,10.77,10.73,10.38,0.9,1.1,1.1,1.6
2018-06-25,100,-33,-0.14,-0.1,-0.1,0.01,0.85,1.97,0.14,4.05,296.39,41.15,602.56,88.44,10.8,-1.3,1.03,0.0,1.47,1.2,-0.14,-0.47,-1.32,-1.36,-1.51,-2.48,10.8,10.8,10.74,10.47,0.0,0.9,1.1,1.6
2018-06-26,100,-32,-0.14,-0.11,-0.1,-0.0,1.41,2.76,1.39,4.17,352.46,61.85,667.07,81.19,10.8,-1.28,0.98,0.1,1.97,1.9,0.34,-0.21,-1.3,-1.32,-1.43,-2.17,10.8,10.8,10.76,10.56,0.0,0.9,1.1,1.6
2018-06-27,100,-31,-0.15,-0.11,-0.1,-0.0,0.92,2.39,1.13,3.69,282.73,44.78,614.72,87.45,10.8,-1.26,0.95,0.0,2.76,2.06,1.15,0.17,-1.28,-1.3,-1.38,-1.94,10.8,10.8,10.77,10.64,0.1,0.1,1.2,1.6
2018-06-28,100,-30,-0.15,-0.11,-0.1,-0.01,2.04,4.36,2.2,6.78,371.72,36.41,664.45,75.97,10.8,-1.25,0.92,0.0,2.39,2.37,1.71,0.58,-1.26,-1.28,-1.34,-1.78,10.8,10.8,10.79,10.69,0.0,0.1,1.2,1.6
2018-06-29,100,-29,-0.17,-0.11,-0.1,-0.0,0.78,1.21,-1.16,3.81,366.01,66.85,689.13,88.98,10.8,-1.23,0.89,0.0,4.36,3.17,2.15,0.86,-1.25,-1.26,-1.31,-1.62,10.8,10.8,10.8,10.73,0.0,0.1,1.0,1.2
2018-06-30,100,-28,-0.17,-0.11,-0.09,0.0,0.5,1.04,-1.27,3.32,279.4,57.57,715.5,92.72,10.8,-1.22,0.87,0.0,1.21,2.65,2.35,0.82,-1.23,-1.25,-1.29,-1.52,10.8,10.8,10.8,10.75,0.0,0.0,1.0,1.2
2018-07-01,100,-27,-0.18,-0.11,-0.09,0.0,0.97,2.37,0.82,4.84,329.32,47.92,658.95,86.95,10.8,-1.2,0.83,0.0,1.04,2.2,2.17,0.85,-1.22,-1.23,-1.27,-1.44,10.8,10.8,10.8,10.76,0.0,0.0,0.1,1.2
2018-07-02,100,-26,-0.18,-0.11,-0.09,-0.0,0.5,0.78,-0.69,4.83,293.39,58.07,681.16,92.72,10.8,-1.19,0.81,0.0,2.37,1.54,2.3,1.08,-1.2,-1.22,-1.25,-1.38,10.8,10.8,10.8,10.77,0.0,0.0,0.1,1.2
2018-07-03,100,-25,-0.17,-0.11,-0.09,0.01,0.2,0.21,-0.81,1.78,242.32,25.2,566.32,96.88,10.9,-1.18,0.8,0.0,0.78,1.4,2.13,1.23,-1.19,-1.2,-1.23,-1.33,10.8,10.8,10.8,10.78,0.0,0.0,0.1,1.2
2018-07-04,100,-24,-0.17,-0.11,-0.09,0.01,0.42,0.91,-0.24,3.43,244.24,30.55,626.08,93.66,10.9,-1.17,0.76,0.0,0.21,1.12,1.76,1.46,-1.18,-1.19,-1.22,-1.3,10.9,10.83,10.81,10.79,0.0,0.0,0.0,1.2
2018-07-05,100,-23,-0.17,-0.11,-0.09,0.01,0.07,-0.43,-1.09,0.18,230.35,39.92,513.24,98.9,10.9,-1.15,0.75,0.0,0.91,0.63,1.56,1.63,-1.17,-1.18,-1.21,-1.27,10.9,10.87,10.83,10.81,0.0,0.0,0.0,1.2
2018-07-06,100,-22,-0.17,-0.11,-0.09,0.01,0.27,0.84,-1.62,3.07,154.91,25.62,307.37,96.16,10.9,-1.14,0.74,0.7,-0.43,0.23,0.87,1.51,-1.15,-1.17,-1.19,-1.25,10.9,10.9,10.84,10.82,0.0,0.0,0.0,1.0
2018-07-07,100,-21,-0.17,-0.11,-0.09,0.02,0.75,3.21,1.25,4.52,170.29,15.85,500.69,90.42,10.9,-1.14,0.7,2.3,0.84,0.44,0.82,1.58,-1.14,-1.15,-1.18,-1.23,10.9,10.9,10.86,10.83,0.7,0.7,0.7,1.7
2018-07-08,100,-20,-0.17,-0.11,-0.09,0.03,0.25,1.36,-1.14,4.56,283.28,22.3,620.09,96.57,10.9,-1.12,0.66,0.0,3.21,1.21,1.13,1.65,-1.14,-1.14,-1.17,-1.22,10.9,10.9,10.87,10.84,2.3,3.0,3.0,3.1
2018-07-09,100,-19,-0.17,-0.11,-0.08,0.04,0.09,-0.65,-1.57,0.61,294.33,24.85,667.25,98.4,11.0,-1.09,0.64,0.0,1.36,1.8,0.98,1.64,-1.12,-1.13,-1.16,-1.2,10.9,10.9,10.89,10.84,0.0,3.0,3.0,3.1
2018-07-10,100,-18,-0.16,-0.11,-0.07,0.1,0.61,2.08,-0.42,5.83,351.43,49.78,649.57,91.89,11.0,-1.07,0.61,0.0,-0.65,1.31,0.78,1.46,-1.09,-1.12,-1.14,-1.19,11.0,10.93,10.91,10.86,0.0,2.3,3.0,3.1
